Train_No,Start_Time,End_Time,Total_Distance,Journey_Duration_Hours,Route_Category
107,1900-01-01 00:00:00,1900-01-01 00:00:00,78,0.0,Short
108,1900-01-01 00:00:00,1900-01-01 00:00:00,83,0.0,Short
128,1900-01-01 19:40:00,1900-01-01 17:45:00,978,22.083333333333332,Long
290,1900-01-01 18:30:00,1900-01-01 02:30:00,2694,8.0,Long
401,1900-01-01 21:30:00,1900-01-01 10:00:00,1618,12.5,Long
421,1900-01-01 23:00:00,1900-01-01 08:00:00,1276,9.0,Long
422,1900-01-01 11:45:00,1900-01-01 14:30:00,1277,2.75,Long
477,1900-01-01 12:10:00,1900-01-01 15:20:00,2616,3.1666666666666665,Long
502,1900-01-01 10:30:00,1900-01-01 09:30:00,1206,23.0,Long
504,1900-01-01 09:00:00,1900-01-01 10:00:00,1313,1.0,Long
506,1900-01-01 14:15:00,1900-01-01 15:45:00,1161,1.5,Long
557,1900-01-01 23:30:00,1900-01-01 11:00:00,1301,11.5,Long
604,1900-01-01 12:30:00,1900-01-01 16:00:00,1429,3.5,Long
1011,1900-01-01 00:20:00,1900-01-01 14:20:00,841,14.0,Long
1037,1900-01-01 01:10:00,1900-01-01 10:30:00,513,9.333333333333334,Medium
1038,1900-01-01 14:05:00,1900-01-01 00:20:00,503,10.25,Medium
1045,1900-01-01 01:10:00,1900-01-01 11:00:00,563,9.833333333333334,Medium
1119,1900-01-01 19:50:00,1900-01-01 20:30:00,1329,0.6666666666666666,Long
1120,1900-01-01 21:30:00,1900-01-01 22:00:00,1319,0.5,Long
1122,1900-01-01 22:30:00,1900-01-01 10:30:00,569,12.0,Medium
1196,1900-01-01 19:50:00,1900-01-01 21:30:00,1332,1.6666666666666667,Long
1301,1900-01-01 18:50:00,1900-01-01 12:30:00,976,17.666666666666668,Long
1302,1900-01-01 15:45:00,1900-01-01 13:10:00,973,21.416666666666668,Long
1442,1900-01-01 11:15:00,1900-01-01 02:15:00,1581,15.0,Long
1655,1900-01-01 10:45:00,1900-01-01 06:15:00,1050,19.5,Long
1656,1900-01-01 19:30:00,1900-01-01 14:05:00,1050,18.583333333333332,Long
1705,1900-01-01 00:15:00,1900-01-01 21:40:00,1261,21.416666666666668,Long
1706,1900-01-01 14:20:00,1900-01-01 11:15:00,1262,20.916666666666668,Long
1707,1900-01-01 09:15:00,1900-01-01 11:45:00,1360,2.5,Long
1708,1900-01-01 14:45:00,1900-01-01 17:20:00,1362,2.5833333333333335,Long
2025,1900-01-01 05:00:00,1900-01-01 13:20:00,579,8.333333333333334,Medium
2026,1900-01-01 14:30:00,1900-01-01 23:00:00,569,8.5,Medium
2191,1900-01-01 20:10:00,1900-01-01 16:00:00,1123,19.833333333333332,Long
2192,1900-01-01 20:40:00,1900-01-01 15:50:00,1123,19.166666666666668,Long
2195,1900-01-01 13:20:00,1900-01-01 23:00:00,551,9.666666666666666,Medium
2196,1900-01-01 23:45:00,1900-01-01 09:45:00,549,10.0,Medium
2515,1900-01-01 00:05:00,1900-01-01 05:00:00,3939,4.916666666666667,Long
2651,1900-01-01 07:45:00,1900-01-01 09:10:00,62,1.4166666666666667,Short
2652,1900-01-01 16:45:00,1900-01-01 18:10:00,62,1.4166666666666667,Short
2731,1900-01-01 16:25:00,1900-01-01 06:25:00,1854,14.0,Long
2732,1900-01-01 14:35:00,1900-01-01 02:00:00,1853,11.416666666666666,Long
2821,1900-01-01 10:30:00,1900-01-01 18:15:00,2066,7.75,Long
2822,1900-01-01 18:30:00,1900-01-01 02:45:00,2073,8.25,Long
2833,1900-01-01 22:20:00,1900-01-01 16:35:00,2332,18.25,Long
2834,1900-01-01 21:05:00,1900-01-01 13:45:00,2351,16.666666666666668,Long
2841,1900-01-01 12:40:00,1900-01-01 15:20:00,1656,2.6666666666666665,Long
2842,1900-01-01 18:20:00,1900-01-01 23:30:00,1656,5.166666666666667,Long
2845,1900-01-01 10:45:00,1900-01-01 18:20:00,1770,7.583333333333333,Long
2846,1900-01-01 21:00:00,1900-01-01 02:45:00,1791,5.75,Long
3101,1900-01-01 23:55:00,1900-01-01 11:50:00,523,11.916666666666666,Medium
3102,1900-01-01 22:45:00,1900-01-01 10:25:00,522,11.666666666666666,Medium
3301,1900-01-01 10:10:00,1900-01-01 11:35:00,58,1.4166666666666667,Short
3302,1900-01-01 11:45:00,1900-01-01 13:10:00,58,1.4166666666666667,Short
3305,1900-01-01 11:30:00,1900-01-01 11:50:00,3,0.3333333333333333,Short
3306,1900-01-01 12:05:00,1900-01-01 12:25:00,3,0.3333333333333333,Short
3307,1900-01-01 14:40:00,1900-01-01 15:15:00,4,0.5833333333333334,Short
3308,1900-01-01 13:15:00,1900-01-01 13:45:00,4,0.5,Short
3501,1900-01-01 18:30:00,1900-01-01 14:10:00,1193,19.666666666666668,Long
3502,1900-01-01 19:50:00,1900-01-01 17:30:00,1193,21.666666666666668,Long
4401,1900-01-01 22:20:00,1900-01-01 13:00:00,710,14.666666666666666,Medium
4402,1900-01-01 23:50:00,1900-01-01 14:05:00,710,14.25,Medium
4409,1900-01-01 21:10:00,1900-01-01 11:30:00,653,14.333333333333334,Medium
4410,1900-01-01 13:30:00,1900-01-01 03:15:00,653,13.75,Medium
4419,1900-01-01 10:40:00,1900-01-01 16:55:00,1916,6.25,Long
4420,1900-01-01 15:35:00,1900-01-01 19:40:00,1924,4.083333333333333,Long
4735,1900-01-01 19:45:00,1900-01-01 10:25:00,691,14.666666666666666,Medium
4736,1900-01-01 19:50:00,1900-01-01 09:25:00,691,13.583333333333334,Medium
4767,1900-01-01 14:25:00,1900-01-01 16:05:00,67,1.6666666666666667,Short
4768,1900-01-01 11:10:00,1900-01-01 13:00:00,67,1.8333333333333333,Short
4769,1900-01-01 17:45:00,1900-01-01 19:30:00,67,1.75,Short
4770,1900-01-01 15:30:00,1900-01-01 17:05:00,67,1.5833333333333333,Short
4771,1900-01-01 02:35:00,1900-01-01 08:45:00,232,6.166666666666667,Short
4772,1900-01-01 18:45:00,1900-01-01 01:00:00,232,6.25,Short
4773,1900-01-01 19:35:00,1900-01-01 22:40:00,125,3.0833333333333335,Short
4774,1900-01-01 01:20:00,1900-01-01 03:55:00,125,2.5833333333333335,Short
4801,1900-01-01 06:30:00,1900-01-01 07:30:00,21,1.0,Short
4802,1900-01-01 19:20:00,1900-01-01 20:20:00,21,1.0,Short
4831,1900-01-01 00:00:00,1900-01-01 00:00:00,882,0.0,Long
4832,1900-01-01 16:45:00,1900-01-01 11:45:00,881,19.0,Long
4851,1900-01-01 06:50:00,1900-01-01 11:30:00,197,4.666666666666667,Short
4852,1900-01-01 16:55:00,1900-01-01 22:00:00,197,5.083333333333333,Short
4853,1900-01-01 11:55:00,1900-01-01 13:10:00,42,1.25,Short
4854,1900-01-01 15:45:00,1900-01-01 16:45:00,42,1.0,Short
4921,1900-01-01 04:45:00,1900-01-01 06:30:00,81,1.75,Short
4922,1900-01-01 20:45:00,1900-01-01 22:40:00,81,1.9166666666666667,Short
4991,1900-01-01 14:40:00,1900-01-01 17:10:00,99,2.5,Short
4992,1900-01-01 09:50:00,1900-01-01 12:10:00,99,2.3333333333333335,Short
5061,1900-01-01 06:45:00,1900-01-01 09:50:00,112,3.0833333333333335,Short
5062,1900-01-01 17:20:00,1900-01-01 20:05:00,112,2.75,Short
5065,1900-01-01 19:30:00,1900-01-01 08:15:00,503,12.75,Medium
5066,1900-01-01 20:25:00,1900-01-01 08:25:00,505,12.0,Medium
5105,1900-01-01 11:45:00,1900-01-01 13:35:00,64,1.8333333333333333,Short
5106,1900-01-01 14:10:00,1900-01-01 15:40:00,64,1.5,Short
5305,1900-01-01 14:55:00,1900-01-01 18:25:00,136,3.5,Short
5306,1900-01-01 11:35:00,1900-01-01 14:30:00,136,2.9166666666666665,Short
5309,1900-01-01 20:55:00,1900-01-01 22:45:00,81,1.8333333333333333,Short
5310,1900-01-01 17:30:00,1900-01-01 19:25:00,81,1.9166666666666667,Short
5521,1900-01-01 20:40:00,1900-01-01 00:25:00,81,3.75,Short
5522,1900-01-01 05:10:00,1900-01-01 08:00:00,81,2.8333333333333335,Short
5613,1900-01-01 06:00:00,1900-01-01 08:05:00,85,2.0833333333333335,Short
5614,1900-01-01 19:10:00,1900-01-01 21:25:00,85,2.25,Short
