Train_No,Source_Station,Destination_Station,Total_Stops,Total_Distance
107,SAWANTWADI R,MADGOAN JN.,4,78
108,MADGOAN JN.,SAWANTWADI R,4,83
128,MADGOAN JN.,CHHATRAPATI,22,978
290,DELHI-SAFDAR,DELHI-SAFDAR,14,2694
401,AURANGABAD,VARANASI JN.,12,1618
421,LUCKNOW JN.,SHRI MATA VA,5,1276
422,SHRI MATA VA,LUCKNOW JN.,5,1277
477,SIRSA,SIRSA,14,2616
502,RAJENDRANAGA,AMBALA CANTT,9,1206
504,PATNA JN.,BATHINDA JN,3,1313
506,PATNA JN.,PATIALA,3,1161
557,URKURA,PANJIPARA,2,1301
604,PATNA JN.,AMRITSAR JN.,3,1429
1011,CST-MUMBAI,NAGPUR JN.(C,18,841
1037,LOKMANYA TIL,SAWANTWADI R,10,513
1038,SAWANTWADI R,LOKMANYA TIL,10,503
1045,LOKMANYA TIL,KARMALI,11,563
1119,AJNI,KARMALI,24,1329
1120,KARMALI,AJNI,24,1319
1122,KARMALI,CST-MUMBAI,14,569
1196,NAGPUR JN.(C,KARMALI,26,1332
1301,PUNE JN.,MANGALORE JN,17,976
1302,MANGALORE JN,PUNE JN.,17,973
1442,DELHI-SAFDAR,KHADKI,13,1581
1655,PUNE JN.,JABALPUR,13,1050
1656,JABALPUR,PUNE JN.,13,1050
1705,BANDRA TERMI,JABALPUR,14,1261
1706,JABALPUR,BANDRA TERMI,14,1262
1707,JABALPUR,ATARI JN,17,1360
1708,ATARI JN,JABALPUR,17,1362
2025,CST-MUMBAI,KARMALI,7,579
2026,KARMALI,CST-MUMBAI,7,569
2191,JABALPUR,SANTRAGACHI,16,1123
2192,SANTRAGACHI,JABALPUR,16,1123
2195,REWA,BHOPAL,10,551
2196,BHOPAL,REWA,10,549
2515,TRIVANDRUM C,SILCHAR,58,3939
2651,PALANI,POLLACHI,3,62
2652,POLLACHI,PALANI,3,62
2731,HYDERABAD DE,JAIPUR JN.,29,1854
2732,JAIPUR JN.,HYDERABAD DE,29,1853
2821,PUNE JN.,SANTRAGACHI,14,2066
2822,SANTRAGACHI,PUNE JN.,14,2073
2833,RAJKOT,SANTRAGACHI,29,2332
2834,SANTRAGACHI,RAJKOT,29,2351
2841,SANTRAGACHI,CHENNAI CENT,12,1656
2842,CHENNAI CENT,SANTRAGACHI,12,1656
2845,PUNE JN.,HATIA,17,1770
2846,HATIA,PUNE JN.,17,1791
3101,KOLKATA,PURI,9,523
3102,PURI,KOLKATA,9,522
3301,ASANSOL MAIN,DHANBAD JN.,13,58
3302,DHANBAD JN.,ASANSOL MAIN,13,58
3305,DHANBAD JN.,KUSUNDA,2,3
3306,KUSUNDA,DHANBAD JN.,2,3
3307,SONARDIH,PHULWARTANR,4,4
3308,PHULWARTANR,SONARDIH,4,4
3501,JASIDIH JN.,ANAND VIHAR,5,1193
3502,ANAND VIHAR,JASIDIH JN.,5,1193
4401,ANAND VIHAR,SHRI MATA VA,13,710
4402,SHRI MATA VA,ANAND VIHAR,13,710
4409,DELHI JN.,SHRI MATA VA,7,653
4410,SHRI MATA VA,DELHI JN.,7,653
4419,MADGOAN JN.,HAZRAT NIZAM,13,1916
4420,HAZRAT NIZAM,MADGOAN JN.,13,1924
4735,BIKANER JN.,HARIDWAR JN,17,691
4736,HARIDWAR JN,BIKANER JN.,17,691
4767,HANUMANGARH,SHRI GANGANA,10,67
4768,SHRI GANGANA,HANUMANGARH,10,67
4769,HANUMANGARH,SHRI GANGANA,10,67
4770,SHRI GANGANA,HANUMANGARH,10,67
4771,SADULPUR JN,SHRI GANGANA,24,232
4772,SHRI GANGANA,SADULPUR JN,24,232
4773,SHRI GANGANA,SURATGARH JN,16,125
4774,SURATGARH JN,SHRI GANGANA,10,125
4801,PARVATSAR CI,MAKRANA JN.,3,21
4802,MAKRANA JN.,PARVATSAR CI,3,21
4831,JODHPUR JN.,HARIDWAR JN,22,882
4832,HARIDWAR JN,JODHPUR JN.,22,881
4851,MERTA ROAD J,RATANAGARH J,21,197
4852,RATANAGARH J,MERTA ROAD J,21,197
4853,RATANAGARH J,CHURU,6,42
4854,CHURU,RATANAGARH J,6,42
4921,SAHARANPUR J,AMBALA CANTT,13,81
4922,AMBALA CANTT,SAHARANPUR J,13,81
4991,PATHANKOT JN,JAMMU TAWI,14,99
4992,JAMMU TAWI,PATHANKOT JN,14,99
5061,GORAKHPUR JN,BARHNI,5,112
5062,BARHNI,GORAKHPUR JN,5,112
5065,CHHAPRA JN.,LUCKNOW JN.,15,503
5066,LUCKNOW JN.,CHHAPRA JN.,15,505
5105,GORAKHPUR JN,BASTI,4,64
5106,BASTI,GORAKHPUR JN,4,64
5305,KANPUR ANWAR,FARRUKHABAD,11,136
5306,FARRUKHABAD,KANPUR ANWAR,11,136
5309,BAREILLY CIT,LALKUA JN.,6,81
5310,LALKUA JN.,BAREILLY CIT,6,81
5521,JAMALPUR JN.,SAHARSA JN.,12,81
5522,SAHARSA JN.,JAMALPUR JN.,12,81
5613,JHALAWAR CIT,KOTA,11,85
5614,KOTA,JHALAWAR CIT,9,85
5619,NORTH LAKHIM,MURKEONG SEL,20,153
5620,MURKEONG SEL,NORTH LAKHIM,20,153
5631,GUWAHATI,SILCHAR,10,380
5632,SILCHAR,GUWAHATI,10,379
5715,NEW JALPAIGU,KISHANGANJ,2,87
5716,KISHANGANJ,NEW JALPAIGU,2,87
5719,KATIHAR JN.,SILIGURI JN.,11,204
5720,SILIGURI JN.,KATIHAR JN.,11,205
5863,RANGIYA JN.,RANGAPARA NO,15,89
5864,RANGAPARA NO,RANGIYA JN.,15,88
5865,RANGIYA JN.,MURKEONG SEL,53,426
5866,MURKEONG SEL,RANGIYA JN.,53,425
6001,CHENNAI EGMO,TIRUNELVELI,14,649
6002,TIRUNELVELI,CHENNAI EGMO,15,649
6006,ERNAKULAM. J,CHENNAI CENT,14,699
6009,SANTRAGACHI,PONDICHERRY,27,1844
6010,PONDICHERRY,SANTRAGACHI,27,1843
6041,CHENNAI CENT,QUILON,19,849
6042,QUILON,CHENNAI CENT,20,851
6043,CHENNAI CENT,QUILON,18,849
6044,QUILON,CHENNAI CENT,19,852
6046,QUILON,CHENNAI CENT,19,852
6047,CHENNAI CENT,QUILON,19,849
6048,QUILON,CHENNAI CENT,20,852
6049,CHENNAI EGMO,QUILON,19,855
6050,QUILON,CHENNAI EGMO,20,857
6053,KOCHUVELI,MANGALORE JN,14,626
6054,MANGALORE JN,KOCHUVELI,14,627
6057,SANTRAGACHI,CHENNAI CENT,19,1656
6058,CHENNAI CENT,SANTRAGACHI,19,1655
6065,CHENGALPATTU,MADURAI JN,13,500
6066,MADURAI JN,CHENGALPATTU,13,501
6067,CHENGALPATTU,COIMBATORE,9,522
6068,COIMBATORE,CHENGALPATTU,9,522
6081,COIMBATORE,POLLACHI,4,45
6082,POLLACHI,COIMBATORE,4,45
6412,DELHI-SAFDAR,PAYYANUR,21,2462
